Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording125	Messi	Messi_trials22-24	d01-constr	1	d01-constr	whole_screen	5429	141987	30	30	30	30	1	0	30	whole_screen		4,79178	30	1	0	0				
Recording125	Messi	Messi_trials22-24	d12-constr	1	d12-constr	whole_screen	5595	114312	218	218	218	218	1	522	218	whole_screen		4,73727	218	1	522	0				
Recording125	Messi	Messi_trials22-24	grey_screen	1	grey_screen	whole_screen	4596	104936	0				0						0	0		0				
Recording125	Messi	Messi_trials22-24	grey_screen	2	grey_screen	whole_screen	4646	119907	0				0						0	0		0				
Recording125	Messi	Messi_trials22-24	grey_screen	3	grey_screen	whole_screen	4546	134194	0				0						0	0		0				
Recording125	Messi	Messi_trials22-24	h10-dilating	1	h10-dilating	whole_screen	5595	128599	0				0						0	0		0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	30	30	30	30	1	141987	30	whole_screen		4,79178	30	1	141987	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	0				0			whole_screen			0	0		0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	0				0			whole_screen			0	0		0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	218	218	218	218	1	114833	218	whole_screen		4,73727	218	1	114833	0				
Recording312	jazz	Jazz_trials73-75	b05-dilating	1	b05-dilating	whole_screen	5595	292605	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	d09-constr	1	d09-constr	whole_screen	5429	313737	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	grey_screen	1	grey_screen	whole_screen	5129	242849	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	grey_screen	2	grey_screen	whole_screen	4593	274821	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	grey_screen	3	grey_screen	whole_screen	4546	298200	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	h00-constr	1	h00-constr	whole_screen	5628	269193	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	0				0						0	0		0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	0				0						0	0		0				
Recording61	kaije	Kaije_trials16-18	b03-dilating	1	b03-dilating	whole_screen	5662	94825	1829	122	62	417	15	0	62	whole_screen	whole_screen	3,07481	5662	1	0	2				
Recording61	kaije	Kaije_trials16-18	grey_screen	1	grey_screen	whole_screen	5096	72561	3216	179	58	653	18	7	133	whole_screen	whole_screen	3,30748	5096	1	0	5				
Recording61	kaije	Kaije_trials16-18	grey_screen	2	grey_screen	whole_screen	4596	84834	1855	232	23	843	8	0	23	whole_screen		3,16961	4482	1	0	0				
Recording61	kaije	Kaije_trials16-18	grey_screen	3	grey_screen	whole_screen	4513	100487	2796	215	67	697	13	0	416	whole_screen	whole_screen	2,96175	4513	1	0	1				
Recording61	kaije	Kaije_trials16-18	h01-dilating	1	h01-dilating	whole_screen	5429	112077	3332	333	117	903	10	29	417	whole_screen	whole_screen	3,08084	5416	1	12	0				
Recording61	kaije	Kaije_trials16-18	h06-dilating	1	h06-dilating	whole_screen	5612	79222	1658	138	67	402	12	80	133	whole_screen	whole_screen	3,16697	5549	1	63	5				
Recording61	kaije	Kaije_trials16-18	Entire Recording	1	b03-dilating,d5d8b793-c98f-4412-9eb8-27017d7a6253,dog_fed,grey_screen,h01-dilating,h06-dilating,Our pet pheasant (online-video-cutter.com)	whole_screen	117721	0	1658	138	67	402	12	79302	133	whole_screen		3,16697	5549	1	79286	5				
Recording61	kaije	Kaije_trials16-18	Entire Recording	1	b03-dilating,d5d8b793-c98f-4412-9eb8-27017d7a6253,dog_fed,grey_screen,h01-dilating,h06-dilating,Our pet pheasant (online-video-cutter.com)	whole_screen	117721	0	3332	333	117	903	10	112106	417	whole_screen		3,08084	5416	1	112089	0				
Recording61	kaije	Kaije_trials16-18	Entire Recording	1	b03-dilating,d5d8b793-c98f-4412-9eb8-27017d7a6253,dog_fed,grey_screen,h01-dilating,h06-dilating,Our pet pheasant (online-video-cutter.com)	whole_screen	117721	0	7868	202	23	843	39	72568	133	whole_screen		3,1516	14100	3	72551	6				
Recording61	kaije	Kaije_trials16-18	Entire Recording	1	b03-dilating,d5d8b793-c98f-4412-9eb8-27017d7a6253,dog_fed,grey_screen,h01-dilating,h06-dilating,Our pet pheasant (online-video-cutter.com)	whole_screen	117721	0	1829	122	62	417	15	94825	62	whole_screen		3,07481	5662	1	94825	2				
Recording73	Messi	Messi_trials4-6 	d10-dilating	1	d10-dilating	whole_screen	5612	228451	3082	193	67	761	16	0	761	whole_screen		4,10956	3884	2	0	11				
Recording73	Messi	Messi_trials4-6 	d15-constr	1	d15-constr	whole_screen	5412	273229	0				0						0	0		0				
Recording73	Messi	Messi_trials4-6 	grey_screen	1	grey_screen	whole_screen	5095	221524	0				0						0	0		0				
Recording73	Messi	Messi_trials4-6 	grey_screen	2	grey_screen	whole_screen	4579	234063	0				0						0	0		0				
Recording73	Messi	Messi_trials4-6 	grey_screen	3	grey_screen	whole_screen	4529	263255	0				0						0	0		0				
Recording73	Messi	Messi_trials4-6 	h02-constr	1	h02-constr	whole_screen	5578	257676	0				0						0	0		0				
Recording73	Messi	Messi_trials4-6 	Entire Recording	1	d10-dilating,d15-constr,grey_screen,h02-constr,Kanji The Parrot makes squeak toy noise when squeezed,Kitten meowing to attract cats,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	278865	0	3082	193	67	761	16	228451	761	whole_screen		4,10956	3884	2	228451	11				
Recording73	Messi	Messi_trials4-6 	Entire Recording	1	d10-dilating,d15-constr,grey_screen,h02-constr,Kanji The Parrot makes squeak toy noise when squeezed,Kitten meowing to attract cats,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	278865	0	0				0			whole_screen			0	0		0				
Recording73	Messi	Messi_trials4-6 	Entire Recording	1	d10-dilating,d15-constr,grey_screen,h02-constr,Kanji The Parrot makes squeak toy noise when squeezed,Kitten meowing to attract cats,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	278865	0	0				0			whole_screen			0	0		0				
Recording73	Messi	Messi_trials4-6 	Entire Recording	1	d10-dilating,d15-constr,grey_screen,h02-constr,Kanji The Parrot makes squeak toy noise when squeezed,Kitten meowing to attract cats,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	278865	0	0				0			whole_screen			0	0		0				
Recording339	Messi	Messi_rep2_h12d-d07c-h14c-b00c-b02d-b01d	b00-constr	1	b00-constr	whole_screen	5579	66560	1695	154	67	426	11	946	103	whole_screen		3,79011	4603	1	946	1				
Recording339	Messi	Messi_rep2_h12d-d07c-h14c-b00c-b02d-b01d	b01-dilating	1	b01-dilating	whole_screen	5412	96584	1514	151	67	387	10	526	100	whole_screen		3,81711	4877	1	509	1				
Recording339	Messi	Messi_rep2_h12d-d07c-h14c-b00c-b02d-b01d	b02-dilating	1	b02-dilating	whole_screen	5612	84861	2953	227	67	901	13	0	118	whole_screen	whole_screen	3,65865	5612	1	0	4				
Recording339	Messi	Messi_rep2_h12d-d07c-h14c-b00c-b02d-b01d	d07-constr	1	d07-constr	whole_screen	5595	43531	1457	243	11	933	6	0	41	whole_screen	whole_screen	3,57556	5595	1	0	0				
Recording339	Messi	Messi_rep2_h12d-d07c-h14c-b00c-b02d-b01d	grey_screen	1	grey_screen	whole_screen	5112	22632	3098	344	49	1100	9	0	66	whole_screen	whole_screen	3,52079	5112	1	0	1				
